LinkRole,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D210000,,,,,,,,,
Definition,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements",,,,,,,,,
prefix,name,label,depth,order,priority,weight,parent,arcrole,systemid,comment
ifrs-full,Assets,자산,0,,,,,,,
ifrs-full,CurrentAssets,유동자산,1,1.0 ,0,1.0 ,ifrs-full:Assets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
ifrs-full,CashAndCashEquivalents,현금및현금성자산,2,1.0 ,0,1.0 ,ifrs-full:CurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
ifrs-full,Cash,현금,3,1.0 ,0,1.0 ,ifrs-full:CashAndCashEquivalents,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
ifrs-full,CashEquivalents,현금성자산,3,2.0 ,0,1.0 ,ifrs-full:CashAndCashEquivalents,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,GovernmentGrantsCashAndCashEquivalentsGross,"정부보조금, 현금및현금성자산",2,2.0 ,0,-1.0 ,ifrs-full:CurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
ifrs-full,ShorttermDepositsNotClassifiedAsCashEquivalents,현금성자산으로 분류되지 않는 단기예금,2,3.0 ,0,1.0 ,ifrs-full:CurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
ifrs-full,TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,2,4.0 ,0,1.0 ,ifrs-full:CurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,ShortTermTradeReceivable,"단기매출채권, 총액",3,1.0 ,0,1.0 ,ifrs-full:TradeAndOtherCurrentReceivables,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AllowanceForDoubtfulAcccountShortTermTradeReceivable,"대손충당금, 매출채권",3,2.0 ,0,-1.0 ,ifrs-full:TradeAndOtherCurrentReceivables,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
