#,prefix,name,id,type,enumerations,substitutionGroup,balance,periodType,abstract,nillable,typedDomainRef,ext. enum domain,ext. enum linkrole,ext. enum headUsable,comment
1,dart,ReserveOfLossesOnHedgingInstrumentsThatHedgeInvestmentsInEquityInstruments,dart_ReserveOfLossesOnHedgingInstrumentsThatHedgeInvestmentsInEquityInstruments,xbrli:monetaryItemType,,xbrli:item,debit,instant,,true,,,,,
2,dart,ReserveOfGainsOnHedgingInstrumentsThatHedgeInvestmentsInEquityInstruments,dart_ReserveOfGainsOnHedgingInstrumentsThatHedgeInvestmentsInEquityInstruments,xbrli:monetaryItemType,,xbrli:item,credit,instant,,true,,,,,
3,dart,ReserveOfLossesOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,dart_ReserveOfLossesOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,xbrli:monetaryItemType,,xbrli:item,debit,instant,,true,,,,,
4,dart,ReserveOfGainsOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,dart_ReserveOfGainsOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,xbrli:monetaryItemType,,xbrli:item,credit,instant,,true,,,,,
5,dart,GovernmentGrantsCashAndCashEquivalentsGross,dart_GovernmentGrantsCashAndCashEquivalentsGross,xbrli:monetaryItemType,,xbrli:item,credit,instant,,true,,,,,
6,dart,AllowanceForDoubtfulAcccountCurrentFinanceLeaseReceivables,dart_AllowanceForDoubtfulAcccountCurrentFinanceLeaseReceivables,xbrli:monetaryItemType,,xbrli:item,credit,instant,,true,,,,,
7,dart,ShortTermDeferredAncillaryIncomeForLoans,dart_ShortTermDeferredAncillaryIncomeForLoans,xbrli:monetaryItemType,,xbrli:item,debit,instant,,true,,,,,
8,dart,AllowanceForDoubtfulAcccountShortTermDeferredAncillaryIncomeForLoans,dart_AllowanceForDoubtfulAcccountShortTermDeferredAncillaryIncomeForLoans,xbrli:monetaryItemType,,xbrli:item,credit,instant,,true,,,,,
9,dart,ReceivablesOnConstructionContracts,dart_ReceivablesOnConstructionContracts,xbrli:monetaryItemType,,xbrli:item,debit,instant,,true,,,,,
10,dart,AllowanceForDoubtfulAcccountReceivablesOnConstructionContracts,dart_AllowanceForDoubtfulAcccountReceivablesOnConstructionContracts,xbrli:monetaryItemType,,xbrli:item,credit,instant,,true,,,,,
11,dart,ReceivablesRealestateSales,dart_ReceivablesRealestateSales,xbrli:monetaryItemType,,xbrli:item,debit,instant,,true,,,,,
12,dart,AllowanceForDoubtfulAcccountReceivablesRealestateSales,dart_AllowanceForDoubtfulAcccountReceivablesRealestateSales,xbrli:monetaryItemType,,xbrli:item,credit,instant,,true,,,,,
13,dart,ReceivablesAgent,dart_ReceivablesAgent,xbrli:monetaryItemType,,xbrli:item,debit,instant,,true,,,,,
14,dart,AllowanceForDoubtfulAcccountReceivablesAgent,dart_AllowanceForDoubtfulAcccountReceivablesAgent,xbrli:monetaryItemType,,xbrli:item,credit,instant,,true,,,,,
15,dart,AllowanceForDoubtfulAcccountShortTermPrepaidExpenses,dart_AllowanceForDoubtfulAcccountShortTermPrepaidExpenses,xbrli:monetaryItemType,,xbrli:item,credit,instant,,true,,,,,
16,dart,ShortTermPrepaidConstructionCosts,dart_ShortTermPrepaidConstructionCosts,xbrli:monetaryItemType,,xbrli:item,debit,instant,,true,,,,,
17,dart,AllowanceForDoubtfulAcccountShortTermPrepaidConstructionCosts,dart_AllowanceForDoubtfulAcccountShortTermPrepaidConstructionCosts,xbrli:monetaryItemType,,xbrli:item,credit,instant,,true,,,,,
18,dart,LeaseholdDeposits,dart_LeaseholdDeposits,xbrli:monetaryItemType,,xbrli:item,debit,instant,,true,,,,,
19,dart,AllowanceForDoubtfulAcccountLeaseholdDeposits,dart_AllowanceForDoubtfulAcccountLeaseholdDeposits,xbrli:monetaryItemType,,xbrli:item,credit,instant,,true,,,,,
20,dart,ShortTermContractReserve,dart_ShortTermContractReserve,xbrli:monetaryItemType,,xbrli:item,debit,instant,,true,,,,,
21,dart,CurrentWorkoutReceivable,dart_CurrentWorkoutReceivable,xbrli:monetaryItemType,,xbrli:item,debit,instant,,true,,,,,
22,dart,ShortTermDueFromCustomersForContractWork,dart_ShortTermDueFromCustomersForContractWork,xbrli:monetaryItemType,,xbrli:item,debit,instant,,true,,,,,
23,dart,AllowanceForDoubtfulAcccountShortTermDueFromCustomersForContractWork,dart_AllowanceForDoubtfulAcccountShortTermDueFromCustomersForContractWork,xbrli:monetaryItemType,,xbrli:item,credit,instant,,true,,,,,
