LinkRole,http://www.xbrl.org/2003/role/link,,,,,,,,,,,,,,,,
Definition,,,,,,,,,,,,,,,,,
,,,,,,ref,,,,,,,,,,,
#,prefix,name,label,verbose,role,Name,Number,Paragraph,IssueDate,Subparagraph,URI,URIDate,Clause,Note,Section,base schema,comment
1,dart,InformationForEachOperatingSegmentForTheContractsThatApplyCostBasedOnInputMethodToMeasurePercentage-Of-CompletionAbstract,발생원가에 기초한 투입법을 진행률 측정에 사용하는 계약에 대한 영업부문별 정보 [개요],,http://www.xbrl.org/2003/role/disclosureRef,IFRS,15,한129.4,,,,,,,,dart_all,
2,dart,InformationOfContractsNoLessThan5PercentOfTotalRevenueInPreviousYearTable,직전 회계연도 매출액의 5 퍼센트 이상인 경우의 계약별 정보 [표],,http://www.xbrl.org/2003/role/disclosureRef,IFRS,15,한129.1,,,,,,,,dart_all,
3,dart,IncreaseDecreaseInConstructionProfitOrLoss,공사손익변동금액,,http://www.xbrl.org/2003/role/disclosureRef,IFRS,15,한129.4,,,,,,,,dart_all,
4,dart,IncreaseDecreaseInEstimatedTotalContractCosts,추정총계약원가 변동금액,,http://www.xbrl.org/2003/role/disclosureRef,IFRS,15,한129.4,,,,,,,,dart_all,
5,dart,IncreaseDecreaseInTotalContractRevenueByChangesInAccountingEstimates,총계약수익의 추정의 변동,,http://www.xbrl.org/2003/role/disclosureRef,IAS,8,39,,,,,,,,dart_all,
6,dart,IncreaseDecreaseInTotalContractCostsByChangesInAccountingEstimates,총계약원가의 추정 변동,,http://www.xbrl.org/2003/role/disclosureRef,IAS,8,39,,,,,,,,dart_all,
7,dart,ImpactOnProfitOrLossForTheYearOfIncreaseDecreaseInTotalContractRevenueAndCostsByChangesInAccountingEstimates,총계약수익과 원가의 추정 변동이 당기손익에 미치는 영향,,http://www.xbrl.org/2003/role/disclosureRef,IAS,8,39,,,,,,,,dart_all,
8,dart,ImpactOnProfitOrLossForTheSucceedingYearOfIncreaseDecreaseInTotalContractRevenueAndCostsByChangesInAccountingEstimates,총계약수익과 원가의 추정 변동이 미래손익에 미치는 영향,,http://www.xbrl.org/2003/role/disclosureRef,IAS,8,39,,,,,,,,dart_all,
9,dart,ContractualDateConstructionIndustry,"계약일, 수주산업",,http://www.xbrl.org/2003/role/disclosureRef,IFRS,15,한129.1,,,,,,,,dart_all,
10,dart,ContractualCompletionDueDateConstructionIndustry,"계약상 완성기한, 수주산업",,http://www.xbrl.org/2003/role/disclosureRef,IFRS,15,한129.1,,,,,,,,dart_all,
11,dart,PercentageOfCompletionConstructionIndustry,"진행률, 수주산업",,http://www.xbrl.org/2003/role/disclosureRef,IFRS,15,한129.1,,,,,,,,dart_all,
12,dart,ProvisionForImpairmentContractAssets,"손실충당금, 계약자산",,http://www.xbrl.org/2003/role/disclosureRef,IFRS,15,한129.1,,,,,,,,dart_all,
