#,id,roleURI,usedOn,definition,Defined Schema Systemid,comment
1,dart_2024-06-30_role-D210000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D210000,link:calculationLink link:definitionLink link:presentationLink ,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements",dart_all_2024-06-30.xsd,
2,dart_2024-06-30_role-D210005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D210005,link:calculationLink link:definitionLink link:presentationLink ,"[D210005] 재무상태표, 유동/비유동법 - 별도 | Statement of financial position, current/non-current - Separate financial statements",dart_all_2024-06-30.xsd,
3,dart_2024-06-30_role-D220000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D220000,link:calculationLink link:definitionLink link:presentationLink ,"[D220000] 재무상태표, 유동성배열법 - 연결 | Statement of financial position, order of liquidity - Consolidated financial statements",dart_all_2024-06-30.xsd,
4,dart_2024-06-30_role-D220005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D220005,link:calculationLink link:definitionLink link:presentationLink ,"[D220005] 재무상태표, 유동성배열법 - 별도 | Statement of financial position, order of liquidity - Separate financial statements",dart_all_2024-06-30.xsd,
5,dart_2024-06-30_role-D310000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D310000,link:calculationLink link:definitionLink link:presentationLink ,"[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements",dart_all_2024-06-30.xsd,
6,dart_2024-06-30_role-D310005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D310005,link:calculationLink link:definitionLink link:presentationLink ,"[D310005] 손익계산서, 기능별 분류 - 별도 | Income statement, by function of expense - Separate financial statements",dart_all_2024-06-30.xsd,
7,dart_2024-06-30_role-D320000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D320000,link:calculationLink link:definitionLink link:presentationLink ,"[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements",dart_all_2024-06-30.xsd,
8,dart_2024-06-30_role-D320005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D320005,link:calculationLink link:definitionLink link:presentationLink ,"[D320005] 손익계산서, 성격별 분류 - 별도 | Income statement, by nature of expense - Separate financial statements",dart_all_2024-06-30.xsd,
9,dart_2024-06-30_role-D410000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D410000,link:calculationLink link:definitionLink link:presentationLink ,"[D410000] 포괄손익계산서, 세후로 표시된 OCI 구성요소 - 연결 | Statement of comprehensive income - Consolidated financial statements",dart_all_2024-06-30.xsd,
10,dart_2024-06-30_role-D410005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D410005,link:calculationLink link:definitionLink link:presentationLink ,"[D410005] 포괄손익계산서, 세후로 표시된 OCI 구성요소 - 별도 | Statement of comprehensive income - Separate financial statements",dart_all_2024-06-30.xsd,
11,dart_2024-06-30_role-D420000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D420000,link:calculationLink link:definitionLink link:presentationLink ,"[D420000] 포괄손익계산서, 세전으로 표시된 OCI 구성요소 - 연결 | Statement of comprehensive income [alternative] - Consolidated financial statements",dart_all_2024-06-30.xsd,
12,dart_2024-06-30_role-D420005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D420005,link:calculationLink link:definitionLink link:presentationLink ,"[D420005] 포괄손익계산서, 세전으로 표시된 OCI 구성요소 - 별도 | Statement of comprehensive income [alternative] - Separate financial statements",dart_all_2024-06-30.xsd,
13,dart_2024-06-30_role-D510000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D510000,link:calculationLink link:definitionLink link:presentationLink ,"[D510000] 현금흐름표, 직접법 - 연결 | Statement of cash flows, direct method - Consolidated financial statements",dart_all_2024-06-30.xsd,
14,dart_2024-06-30_role-D510005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D510005,link:calculationLink link:definitionLink link:presentationLink ,"[D510005] 현금흐름표, 직접법 - 별도 | Statement of cash flows, direct method - Separate financial statements",dart_all_2024-06-30.xsd,
15,dart_2024-06-30_role-D520000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D520000,link:calculationLink link:definitionLink link:presentationLink ,"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements",dart_all_2024-06-30.xsd,
16,dart_2024-06-30_role-D520005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D520005,link:calculationLink link:definitionLink link:presentationLink ,"[D520005] 현금흐름표, 간접법 - 별도 | Statement of cash flows, indirect method - Separate financial statements",dart_all_2024-06-30.xsd,
17,dart_2024-06-30_role-D610000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D610000,link:calculationLink link:definitionLink link:presentationLink ,[D610000] 자본변동표 - 연결 | Statement of changes in equity - Consolidated financial statements,dart_all_2024-06-30.xsd,
18,dart_2024-06-30_role-D610005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D610005,link:calculationLink link:definitionLink link:presentationLink ,[D610005] 자본변동표 - 별도 | Statement of changes in equity - Separate financial statements,dart_all_2024-06-30.xsd,
19,dart_2024-06-30_role-D431410,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D431410,link:presentationLink link:calculationLink link:definitionLink ,"[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements",dart_all_2024-06-30.xsd,
20,dart_2024-06-30_role-D431415,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D431415,link:presentationLink link:calculationLink link:definitionLink ,"[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements",dart_all_2024-06-30.xsd,
21,dart_2024-06-30_role-D431420,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D431420,link:presentationLink link:calculationLink link:definitionLink ,"[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements",dart_all_2024-06-30.xsd,
22,dart_2024-06-30_role-D431425,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D431425,link:presentationLink link:calculationLink link:definitionLink ,"[D431425] 단일 포괄손익계산서, 기능별 분류, 세전 - 별도 | Statement of comprehensive income [alternative], by function of expense - Separate financial statements",dart_all_2024-06-30.xsd,
23,dart_2024-06-30_role-D432410,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D432410,link:presentationLink link:calculationLink link:definitionLink ,"[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements",dart_all_2024-06-30.xsd,
